,precision,recall,f1-score,support
0,0.7108433734939759,0.8271028037383178,0.7645788336933045,214.0
1,0.8,0.6757990867579908,0.7326732673267327,219.0
2,0.980309423347398,0.8357314148681055,0.9022653721682848,834.0
3,0.7614991482112436,0.5471236230110159,0.6367521367521367,817.0
4,0.6828193832599119,0.9897828863346104,0.808133472367049,783.0
accuracy,0.7826996860830137,0.7826996860830137,0.7826996860830137,0.7826996860830137
macro avg,0.787094265662506,0.7751079629420082,0.7688806164615016,2867.0
weighted avg,0.8028220865645407,0.7826996860830137,0.7776629371932913,2867.0
