,precision,recall,f1-score,support
0,0.7148760330578512,0.8084112149532711,0.7587719298245614,214.0
1,0.7853403141361257,0.684931506849315,0.7317073170731707,219.0
2,0.9188861985472155,0.9100719424460432,0.9144578313253012,834.0
3,0.803960396039604,0.4969400244798042,0.6142208774583964,817.0
4,0.6854034451495921,0.9655172413793104,0.8016967126193001,783.0
accuracy,0.7826996860830137,0.7826996860830137,0.7826996860830137,0.7826996860830137
macro avg,0.7816932773860776,0.7731743860215488,0.764170933660146,2867.0
weighted avg,0.796941273308356,0.7826996860830137,0.7725238610433217,2867.0
