,precision,recall,f1-score,support
0,0.6882591093117408,0.794392523364486,0.737527114967462,214.0
1,0.7647058823529411,0.6529680365296804,0.7044334975369458,219.0
2,0.9613848202396804,0.8657074340527577,0.9110410094637224,834.0
3,0.7663230240549829,0.5458996328029376,0.6375982844889206,817.0
4,0.6863636363636364,0.9642401021711366,0.8019118428040362,783.0
accuracy,0.7799093128705964,0.7799093128705964,0.7799093128705964,0.7799093128705964
macro avg,0.7734072944645963,0.7646415457841996,0.7585023498522174,2867.0
weighted avg,0.7952778568655557,0.7799093128705964,0.7745813434947266,2867.0
