number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_mean_fit_time,user_attrs_mean_score_time,user_attrs_mean_test_score,user_attrs_split0_test_score,user_attrs_split1_test_score,user_attrs_split2_test_score,user_attrs_split3_test_score,user_attrs_split4_test_score,user_attrs_std_fit_time,user_attrs_std_score_time,user_attrs_std_test_score,system_attrs_terminator:cv_scores,system_attrs_tpe:relative_params:0,state
10,0.7700493075303103,2026-09-20 02:28:19.402644,2026-09-20 02:28:22.735849,0 days 00:00:03.333205,0.920857401686042,4.170474168910665,0.03417047767710836,10,94,0.011819772156367009,3.5722254523135293,0.5165974927177369,0.648841667175293,0.011537694931030273,0.7700493075303103,0.7643462302233713,0.7694644104560049,0.7731357624940722,0.7683722791438303,0.7749278553342731,0.03253390717060224,0.0009712107356019626,0.0037149980480316223,"[0.7643462302233713, 0.7694644104560049, 0.7731357624940722, 0.7683722791438303, 0.7749278553342731]","{""colsample_bytree"": 0.920857401686042, ""gamma"": 4.170474168910665, ""learning_rate"": 0.03417047767710836, ""max_depth"": 10, ""n_estimators"": 94, ""reg_alpha"": 0.011819772156367009, ""reg_lambda"": 3.5722254523135293, ""subsample"": 0.5165974927177369}",COMPLETE
11,0.7717468886644737,2026-09-20 02:28:22.736849,2026-09-20 02:28:24.434077,0 days 00:00:01.697228,0.7533991746792765,4.4356621971548265,0.07345986542161388,8,53,0.19417427086722475,2.9917518123197118,0.7519850778787542,0.3264919757843018,0.00894179344177246,0.7717468886644737,0.7694821169359526,0.7702012396058315,0.7767716381601719,0.7723370780795836,0.7699423705408289,0.007325730116011302,0.0008925812679045082,0.0026970702139017325,"[0.7694821169359526, 0.7702012396058315, 0.7767716381601719, 0.7723370780795836, 0.7699423705408289]","{""colsample_bytree"": 0.7533991746792765, ""gamma"": 4.4356621971548265, ""learning_rate"": 0.07345986542161388, ""max_depth"": 8, ""n_estimators"": 53, ""reg_alpha"": 0.19417427086722475, ""reg_lambda"": 2.9917518123197118, ""subsample"": 0.7519850778787542}",COMPLETE
12,0.768150490330885,2026-09-20 02:28:24.434077,2026-09-20 02:28:26.646064,0 days 00:00:02.211987,0.900381044053519,4.135843057802706,0.04874830406700837,8,65,0.2740620645853855,3.761243457293287,0.5249550942070563,0.42688760757446287,0.009932994842529297,0.768150490330885,0.7673459992228471,0.7695008871365204,0.769204848601665,0.7666097312422753,0.7680909854511171,0.009195923962212737,0.0006358129394894579,0.0010917809522605184,"[0.7673459992228471, 0.7695008871365204, 0.769204848601665, 0.7666097312422753, 0.7680909854511171]","{""colsample_bytree"": 0.900381044053519, ""gamma"": 4.135843057802706, ""learning_rate"": 0.04874830406700837, ""max_depth"": 8, ""n_estimators"": 65, ""reg_alpha"": 0.2740620645853855, ""reg_lambda"": 3.761243457293287, ""subsample"": 0.5249550942070563}",COMPLETE
13,0.7685775609611353,2026-09-20 02:28:26.647020,2026-09-20 02:28:28.705573,0 days 00:00:02.058553,0.7916364088288781,3.6139452251793607,0.14841497420345706,7,83,0.06278671361088299,4.415445496938309,0.5573844130641677,0.3973576068878174,0.009460926055908203,0.7685775609611353,0.7589364541895032,0.7757863944241958,0.7717310800979902,0.7600341029640367,0.7763997731299509,0.008613954848254732,0.0004155797922384207,0.00760316487245695,"[0.7589364541895032, 0.7757863944241958, 0.7717310800979902, 0.7600341029640367, 0.7763997731299509]","{""colsample_bytree"": 0.7916364088288781, ""gamma"": 3.6139452251793607, ""learning_rate"": 0.14841497420345706, ""max_depth"": 7, ""n_estimators"": 83, ""reg_alpha"": 0.06278671361088299, ""reg_lambda"": 4.415445496938309, ""subsample"": 0.5573844130641677}",COMPLETE
14,0.7688862731781201,2026-09-20 02:28:28.707077,2026-09-20 02:28:30.917317,0 days 00:00:02.210240,0.6632343008032839,4.689221043045598,0.030698973098750866,9,65,0.04294706864916096,3.069006947459843,0.7302771665129663,0.42751317024230956,0.010535192489624024,0.7688862731781201,0.7654541415870751,0.7723419500376959,0.7710333019327887,0.7667617162647358,0.7688402560683054,0.010263825223843377,0.0013611770867196775,0.0025630771327463117,"[0.7654541415870751, 0.7723419500376959, 0.7710333019327887, 0.7667617162647358, 0.7688402560683054]","{""colsample_bytree"": 0.6632343008032839, ""gamma"": 4.689221043045598, ""learning_rate"": 0.030698973098750866, ""max_depth"": 9, ""n_estimators"": 65, ""reg_alpha"": 0.04294706864916096, ""reg_lambda"": 3.069006947459843, ""subsample"": 0.7302771665129663}",COMPLETE
15,0.7689869558958404,2026-09-20 02:28:30.919923,2026-09-20 02:28:36.137102,0 days 00:00:05.217179,0.9696029266211437,4.447930291749564,0.016494186599782346,9,147,0.009786507726550674,4.079444059819046,0.6968256426611679,1.0232118129730225,0.014457035064697265,0.7689869558958404,0.766532306656609,0.773870195829966,0.7714023600849818,0.7643477116908757,0.7687822052167698,0.0705925963181172,0.0013481016001969093,0.003384376520799608,"[0.766532306656609, 0.773870195829966, 0.7714023600849818, 0.7643477116908757, 0.7687822052167698]","{""colsample_bytree"": 0.9696029266211437, ""gamma"": 4.447930291749564, ""learning_rate"": 0.016494186599782346, ""max_depth"": 9, ""n_estimators"": 147, ""reg_alpha"": 0.009786507726550674, ""reg_lambda"": 4.079444059819046, ""subsample"": 0.6968256426611679}",COMPLETE
16,0.7656901581789802,2026-09-20 02:28:36.137102,2026-09-20 02:28:38.234806,0 days 00:00:02.097704,0.8238374807295389,4.646796813272314,0.12774128339829893,10,92,0.1692560984494959,1.9300536732980218,0.8963411707507563,0.40581908226013186,0.010406064987182616,0.7656901581789802,0.7620136849931841,0.7682000545414225,0.7695258054394484,0.7642858813700545,0.764425364550792,0.007057470766485672,0.0008526837661706399,0.002760431887252704,"[0.7620136849931841, 0.7682000545414225, 0.7695258054394484, 0.7642858813700545, 0.764425364550792]","{""colsample_bytree"": 0.8238374807295389, ""gamma"": 4.646796813272314, ""learning_rate"": 0.12774128339829893, ""max_depth"": 10, ""n_estimators"": 92, ""reg_alpha"": 0.1692560984494959, ""reg_lambda"": 1.9300536732980218, ""subsample"": 0.8963411707507563}",COMPLETE
17,0.755972952836113,2026-09-20 02:28:38.242328,2026-09-20 02:28:40.162249,0 days 00:00:01.919921,0.7551126714883856,4.11819782185511,0.020286238560000423,6,66,0.275211361602573,2.2412165350467763,0.6755204102519222,0.37052292823791505,0.009633064270019531,0.755972952836113,0.752547404646444,0.7519996868356736,0.7609167013310182,0.7536978440241672,0.7607031273432622,0.01675752574542621,0.0016184862779157906,0.003987794961257332,"[0.752547404646444, 0.7519996868356736, 0.7609167013310182, 0.7536978440241672, 0.7607031273432622]","{""colsample_bytree"": 0.7551126714883856, ""gamma"": 4.11819782185511, ""learning_rate"": 0.020286238560000423, ""max_depth"": 6, ""n_estimators"": 66, ""reg_alpha"": 0.275211361602573, ""reg_lambda"": 2.2412165350467763, ""subsample"": 0.6755204102519222}",COMPLETE
18,0.7716233716256695,2026-09-20 02:28:40.164284,2026-09-20 02:28:42.427909,0 days 00:00:02.263625,0.7009640573642015,2.9344773129515085,0.08806244119192462,10,68,0.1628118390319229,2.3869271907823046,0.8444784686993604,0.43830485343933107,0.009991884231567383,0.7716233716256695,0.7644464320204334,0.7756922345700883,0.772253787579585,0.7691853454098593,0.7765390585483816,0.006406939541340236,0.0012392920776016644,0.004440033373381838,"[0.7644464320204334, 0.7756922345700883, 0.772253787579585, 0.7691853454098593, 0.7765390585483816]","{""colsample_bytree"": 0.7009640573642015, ""gamma"": 2.9344773129515085, ""learning_rate"": 0.08806244119192462, ""max_depth"": 10, ""n_estimators"": 68, ""reg_alpha"": 0.1628118390319229, ""reg_lambda"": 2.3869271907823046, ""subsample"": 0.8444784686993604}",COMPLETE
19,0.7713368641858795,2026-09-20 02:28:42.428907,2026-09-20 02:28:44.289698,0 days 00:00:01.860791,0.6916759832733262,3.0974512297172945,0.03384332461910873,8,53,0.6210368104126079,2.8819379296725978,0.8186056446737613,0.35790514945983887,0.010241127014160157,0.7713368641858795,0.7672600130330304,0.7749920482866673,0.7749870633400974,0.7706744563677195,0.7687707399018832,0.01048361223416338,0.0009228838663117655,0.0031726587574798398,"[0.7672600130330304, 0.7749920482866673, 0.7749870633400974, 0.7706744563677195, 0.7687707399018832]","{""colsample_bytree"": 0.6916759832733262, ""gamma"": 3.0974512297172945, ""learning_rate"": 0.03384332461910873, ""max_depth"": 8, ""n_estimators"": 53, ""reg_alpha"": 0.6210368104126079, ""reg_lambda"": 2.8819379296725978, ""subsample"": 0.8186056446737613}",COMPLETE
