number,value,datetime_start,datetime_complete,duration,params_bagging_temperature,params_depth,params_iterations,params_l2_leaf_reg,params_learning_rate,params_random_strength,user_attrs_mean_fit_time,user_attrs_mean_score_time,user_attrs_mean_test_score,user_attrs_split0_test_score,user_attrs_split1_test_score,user_attrs_split2_test_score,user_attrs_split3_test_score,user_attrs_split4_test_score,user_attrs_std_fit_time,user_attrs_std_score_time,user_attrs_std_test_score,system_attrs_terminator:cv_scores,system_attrs_tpe:relative_params:0,state
10,0.7657344914936484,2026-09-20 02:33:04.045063,2026-09-20 02:33:25.086552,0 days 00:00:21.041489,0.7263531578975666,8,180,1.5910328663957,0.04923631123356851,0.45146487236294314,4.195817279815674,0.008589458465576173,0.7657344914936484,0.7510455828652398,0.7745491746899225,0.7623925368230422,0.7719599124582773,0.76872525063176,0.16389225339077998,0.002131622857766771,0.008394424863846702,"[0.7510455828652398, 0.7745491746899225, 0.7623925368230422, 0.7719599124582773, 0.76872525063176]","{""bagging_temperature"": 0.7263531578975666, ""depth"": 8, ""iterations"": 180, ""l2_leaf_reg"": 1.5910328663957, ""learning_rate"": 0.04923631123356851, ""random_strength"": 0.45146487236294314}",COMPLETE
11,0.7602217785204262,2026-09-20 02:33:25.086552,2026-09-20 02:33:28.647607,0 days 00:00:03.561055,0.10781018218303919,4,190,4.44870914821739,0.04580574013204641,0.9682001108043234,0.7041524410247803,0.0056721210479736325,0.7602217785204262,0.7566853282039154,0.7656795865330087,0.7595244331510248,0.7561841622269168,0.7630353824872655,0.01896245920385406,0.0015134764048088238,0.0036605778867116498,"[0.7566853282039154, 0.7656795865330087, 0.7595244331510248, 0.7561841622269168, 0.7630353824872655]","{""bagging_temperature"": 0.10781018218303919, ""depth"": 4, ""iterations"": 190, ""l2_leaf_reg"": 4.44870914821739, ""learning_rate"": 0.04580574013204641, ""random_strength"": 0.9682001108043234}",COMPLETE
12,0.7643973237225044,2026-09-20 02:33:28.648601,2026-09-20 02:33:31.294872,0 days 00:00:02.646271,0.2714517368573469,3,169,2.663259810160954,0.15429227498826167,0.004588683182792009,0.5216431617736816,0.00575408935546875,0.7643973237225044,0.7532110489722426,0.7705449556856718,0.767232208255815,0.760924666434312,0.7700737392644809,0.01650073489085085,0.00208690554658057,0.006561154378713162,"[0.7532110489722426, 0.7705449556856718, 0.767232208255815, 0.760924666434312, 0.7700737392644809]","{""bagging_temperature"": 0.2714517368573469, ""depth"": 3, ""iterations"": 169, ""l2_leaf_reg"": 2.663259810160954, ""learning_rate"": 0.15429227498826167, ""random_strength"": 0.004588683182792009}",COMPLETE
13,0.7695516102182753,2026-09-20 02:33:31.294872,2026-09-20 02:33:34.483108,0 days 00:00:03.188236,0.10906303151288992,3,206,1.5661450974084377,0.19020660351124435,0.1523710230068881,0.6282189846038818,0.005550670623779297,0.7695516102182753,0.7634725289745409,0.7735246157483193,0.7735728861738443,0.7636717376968655,0.7735162824978069,0.013540169200934815,0.0015524598446906676,0.004882667082090248,"[0.7634725289745409, 0.7735246157483193, 0.7735728861738443, 0.7636717376968655, 0.7735162824978069]","{""bagging_temperature"": 0.10906303151288992, ""depth"": 3, ""iterations"": 206, ""l2_leaf_reg"": 1.5661450974084377, ""learning_rate"": 0.19020660351124435, ""random_strength"": 0.1523710230068881}",COMPLETE
14,0.768381406856632,2026-09-20 02:33:34.483611,2026-09-20 02:33:36.570177,0 days 00:00:02.086566,0.5260771186764667,3,130,3.370925911929778,0.21257422840788076,0.1457218974692594,0.40857977867126466,0.006711387634277343,0.768381406856632,0.760850171472694,0.7730406341970149,0.7705953029299211,0.7629579732079624,0.7744629524755682,0.02184731198952655,0.0007368501764645557,0.005472258606785671,"[0.760850171472694, 0.7730406341970149, 0.7705953029299211, 0.7629579732079624, 0.7744629524755682]","{""bagging_temperature"": 0.5260771186764667, ""depth"": 3, ""iterations"": 130, ""l2_leaf_reg"": 3.370925911929778, ""learning_rate"": 0.21257422840788076, ""random_strength"": 0.1457218974692594}",COMPLETE
15,0.7652463410906396,2026-09-20 02:33:36.570177,2026-09-20 02:33:38.449160,0 days 00:00:01.878983,0.4597828575872986,4,89,2.7215848963386042,0.1496959498123574,0.03588302054357816,0.36719884872436526,0.006280946731567383,0.7652463410906396,0.7528660789206281,0.7710116443975842,0.7675532966368488,0.761165987281643,0.7736346982164939,0.052565698933866666,0.0004931797754135087,0.007467870914644063,"[0.7528660789206281, 0.7710116443975842, 0.7675532966368488, 0.761165987281643, 0.7736346982164939]","{""bagging_temperature"": 0.4597828575872986, ""depth"": 4, ""iterations"": 89, ""l2_leaf_reg"": 2.7215848963386042, ""learning_rate"": 0.1496959498123574, ""random_strength"": 0.03588302054357816}",COMPLETE
16,0.7639226701001923,2026-09-20 02:33:38.449160,2026-09-20 02:33:44.464534,0 days 00:00:06.015374,0.040633810506252574,5,258,1.5280689569025716,0.24955281673524662,0.2209478341382938,1.1942370414733887,0.005366802215576172,0.7639226701001923,0.7500722484194291,0.7752545672335066,0.7646213916728172,0.7575723298434236,0.7720928133317851,0.018823932579000488,0.002374962145490288,0.009249998346080968,"[0.7500722484194291, 0.7752545672335066, 0.7646213916728172, 0.7575723298434236, 0.7720928133317851]","{""bagging_temperature"": 0.040633810506252574, ""depth"": 5, ""iterations"": 258, ""l2_leaf_reg"": 1.5280689569025716, ""learning_rate"": 0.24955281673524662, ""random_strength"": 0.2209478341382938}",COMPLETE
17,0.7664276778872235,2026-09-20 02:33:44.465539,2026-09-20 02:33:47.330023,0 days 00:00:02.864484,0.11895666411606988,3,180,1.2006606006233072,0.3371369928392308,0.023332088366932433,0.5646075248718262,0.00604400634765625,0.7664276778872235,0.762318548583943,0.7794582147285325,0.761133300150757,0.7578820109494144,0.771346315023471,0.016187197579498176,0.0005105931811266656,0.007898502191051385,"[0.762318548583943, 0.7794582147285325, 0.761133300150757, 0.7578820109494144, 0.771346315023471]","{""bagging_temperature"": 0.11895666411606988, ""depth"": 3, ""iterations"": 180, ""l2_leaf_reg"": 1.2006606006233072, ""learning_rate"": 0.3371369928392308, ""random_strength"": 0.023332088366932433}",COMPLETE
18,0.7641187645750873,2026-09-20 02:33:47.332063,2026-09-20 02:33:49.328220,0 days 00:00:01.996157,0.8397985401316117,3,117,4.125465021123775,0.15101114946299388,0.18748351886919387,0.3921647548675537,0.0058495521545410155,0.7641187645750873,0.7590868940792511,0.7698223391833363,0.7649332953539586,0.7581065525166896,0.7686447417422012,0.01762469762816251,0.0006608569833969282,0.004798856270838662,"[0.7590868940792511, 0.7698223391833363, 0.7649332953539586, 0.7581065525166896, 0.7686447417422012]","{""bagging_temperature"": 0.8397985401316117, ""depth"": 3, ""iterations"": 117, ""l2_leaf_reg"": 4.125465021123775, ""learning_rate"": 0.15101114946299388, ""random_strength"": 0.18748351886919387}",COMPLETE
19,0.7699757073687954,2026-09-20 02:33:49.328220,2026-09-20 02:33:52.169984,0 days 00:00:02.841764,0.25148917390345354,4,144,1.4164625543774323,0.1979319422708463,3.683613556721486,0.559448528289795,0.006437969207763672,0.7699757073687954,0.7573441370503027,0.778394838788285,0.7687583310925972,0.7644204154324408,0.7809608144803509,0.025642563641687353,0.0021455644850862476,0.008757330578640818,"[0.7573441370503027, 0.778394838788285, 0.7687583310925972, 0.7644204154324408, 0.7809608144803509]","{""bagging_temperature"": 0.25148917390345354, ""depth"": 4, ""iterations"": 144, ""l2_leaf_reg"": 1.4164625543774323, ""learning_rate"": 0.1979319422708463, ""random_strength"": 3.683613556721486}",COMPLETE
20,0.7691598354475734,2026-09-20 02:33:52.170287,2026-09-20 02:33:55.499303,0 days 00:00:03.329016,0.20571326841127852,4,176,1.256299210339023,0.18389945852916628,2.776011209941017,0.6561917304992676,0.006507444381713867,0.7691598354475734,0.7580516191404566,0.7749906540988023,0.7696938001094425,0.7621402514709521,0.7809228524182136,0.021052033411899578,0.002066000441653517,0.008310465226276403,"[0.7580516191404566, 0.7749906540988023, 0.7696938001094425, 0.7621402514709521, 0.7809228524182136]","{""bagging_temperature"": 0.20571326841127852, ""depth"": 4, ""iterations"": 176, ""l2_leaf_reg"": 1.256299210339023, ""learning_rate"": 0.18389945852916628, ""random_strength"": 2.776011209941017}",COMPLETE
21,0.7659877526307055,2026-09-20 02:33:55.499303,2026-09-20 02:33:58.208410,0 days 00:00:02.709107,0.1062750942635955,4,140,1.3788563200240342,0.4519651863273769,1.5457706821890955,0.5344155788421631,0.0048923492431640625,0.7659877526307055,0.7623419168869365,0.7694666761441734,0.7669839851406042,0.7576115467954374,0.7735346381863761,0.022571786323663023,0.0014528292268053862,0.005540826871181803,"[0.7623419168869365, 0.7694666761441734, 0.7669839851406042, 0.7576115467954374, 0.7735346381863761]","{""bagging_temperature"": 0.1062750942635955, ""depth"": 4, ""iterations"": 140, ""l2_leaf_reg"": 1.3788563200240342, ""learning_rate"": 0.4519651863273769, ""random_strength"": 1.5457706821890955}",COMPLETE
22,0.7652146164710671,2026-09-20 02:33:58.208410,2026-09-20 02:34:03.387269,0 days 00:00:05.178859,0.3102743339142333,6,155,1.2606037509920163,0.2578516220473772,0.8616641416456899,1.0260079860687257,0.00653233528137207,0.7652146164710671,0.7574234059356633,0.772110866497865,0.7629758441336139,0.7622662871001872,0.7712966786880073,0.015866399749254634,0.00106920972376521,0.005638394354919998,"[0.7574234059356633, 0.772110866497865, 0.7629758441336139, 0.7622662871001872, 0.7712966786880073]","{""bagging_temperature"": 0.3102743339142333, ""depth"": 6, ""iterations"": 155, ""l2_leaf_reg"": 1.2606037509920163, ""learning_rate"": 0.2578516220473772, ""random_strength"": 0.8616641416456899}",COMPLETE
23,0.7657531373774609,2026-09-20 02:34:03.387269,2026-09-20 02:34:07.401199,0 days 00:00:04.013930,0.3133127605797423,5,164,1.3724951134718248,0.10448422189549816,4.949996555244769,0.7948693752288818,0.004926061630249024,0.7657531373774609,0.7555062093579904,0.7736605145924366,0.765920885054833,0.7639172891524831,0.7697607887295608,0.02637603197817534,0.002206297420415794,0.006115323304691775,"[0.7555062093579904, 0.7736605145924366, 0.765920885054833, 0.7639172891524831, 0.7697607887295608]","{""bagging_temperature"": 0.3133127605797423, ""depth"": 5, ""iterations"": 164, ""l2_leaf_reg"": 1.3724951134718248, ""learning_rate"": 0.10448422189549816, ""random_strength"": 4.949996555244769}",COMPLETE
24,0.7692052758179018,2026-09-20 02:34:07.401199,2026-09-20 02:34:10.581019,0 days 00:00:03.179820,0.207038196189505,4,168,1.2530697901148335,0.18359631906154886,0.27925660600958024,0.6266966819763183,0.006486701965332031,0.7692052758179018,0.7580280266039582,0.7748394868368318,0.7705492072120206,0.770589756582708,0.7720199018539905,0.023781249413110276,0.0006747048041475436,0.005802073631033653,"[0.7580280266039582, 0.7748394868368318, 0.7705492072120206, 0.770589756582708, 0.7720199018539905]","{""bagging_temperature"": 0.207038196189505, ""depth"": 4, ""iterations"": 168, ""l2_leaf_reg"": 1.2530697901148335, ""learning_rate"": 0.18359631906154886, ""random_strength"": 0.27925660600958024}",COMPLETE
25,0.7665992758368485,2026-09-20 02:34:10.581019,2026-09-20 02:34:14.313037,0 days 00:00:03.732018,0.21649293785704288,4,202,2.462656686972747,0.26429299608400364,0.22683343053673816,0.7391087532043457,0.00569300651550293,0.7665992758368485,0.7534134857361998,0.7737105159239036,0.7617092542355846,0.7596158787497099,0.7845472445388446,0.016696776174507762,0.0006040253727138457,0.011128742272327272,"[0.7534134857361998, 0.7737105159239036, 0.7617092542355846, 0.7596158787497099, 0.7845472445388446]","{""bagging_temperature"": 0.21649293785704288, ""depth"": 4, ""iterations"": 202, ""l2_leaf_reg"": 2.462656686972747, ""learning_rate"": 0.26429299608400364, ""random_strength"": 0.22683343053673816}",COMPLETE
26,0.7654814009583489,2026-09-20 02:34:14.318760,2026-09-20 02:34:16.901851,0 days 00:00:02.583091,0.13884610300826514,3,162,1.1039251548308653,0.11843030383920201,0.2669738848092848,0.5094858169555664,0.005118370056152344,0.7654814009583489,0.7605297139955091,0.7692755238665365,0.7685982320093333,0.7611941966401041,0.7678093382802613,0.014429341203141854,0.0012620937127040181,0.003806011593831583,"[0.7605297139955091, 0.7692755238665365, 0.7685982320093333, 0.7611941966401041, 0.7678093382802613]","{""bagging_temperature"": 0.13884610300826514, ""depth"": 3, ""iterations"": 162, ""l2_leaf_reg"": 1.1039251548308653, ""learning_rate"": 0.11843030383920201, ""random_strength"": 0.2669738848092848}",COMPLETE
27,0.7674542844185479,2026-09-20 02:34:16.902866,2026-09-20 02:34:19.574246,0 days 00:00:02.671380,0.45111831809763464,4,140,1.0559277931610986,0.2423719377058997,6.958945012283342,0.5249268054962158,0.00725250244140625,0.7674542844185479,0.7634104239078605,0.7738859743734062,0.7658634734426946,0.756131706369238,0.7779798439995397,0.014150980505687864,0.0013084851037229084,0.007736126953998884,"[0.7634104239078605, 0.7738859743734062, 0.7658634734426946, 0.756131706369238, 0.7779798439995397]","{""bagging_temperature"": 0.45111831809763464, ""depth"": 4, ""iterations"": 140, ""l2_leaf_reg"": 1.0559277931610986, ""learning_rate"": 0.2423719377058997, ""random_strength"": 6.958945012283342}",COMPLETE
28,0.7678955020837981,2026-09-20 02:34:19.575318,2026-09-20 02:34:23.015703,0 days 00:00:03.440385,0.40338053188377004,4,176,1.069026858824484,0.17382176583957,0.1020275651609777,0.6804892539978027,0.005376195907592774,0.7678955020837981,0.7617924587057715,0.7799303740587371,0.7671274394180431,0.7543218048359501,0.776305433400489,0.049295430451025905,0.0015532357232322111,0.009355719148344148,"[0.7617924587057715, 0.7799303740587371, 0.7671274394180431, 0.7543218048359501, 0.776305433400489]","{""bagging_temperature"": 0.40338053188377004, ""depth"": 4, ""iterations"": 176, ""l2_leaf_reg"": 1.069026858824484, ""learning_rate"": 0.17382176583957, ""random_strength"": 0.1020275651609777}",COMPLETE
29,0.7680808505230166,2026-09-20 02:34:23.020414,2026-09-20 02:34:25.520645,0 days 00:00:02.500231,0.20979324893347334,4,131,1.5782120583786556,0.13256975878337918,0.11604917527052745,0.49051675796508787,0.006507015228271485,0.7680808505230166,0.7611898399346287,0.7744789177951524,0.769993973844964,0.7612337377732306,0.7735077832671077,0.018401688113161695,0.0021381982591476014,0.005803720954873673,"[0.7611898399346287, 0.7744789177951524, 0.769993973844964, 0.7612337377732306, 0.7735077832671077]","{""bagging_temperature"": 0.20979324893347334, ""depth"": 4, ""iterations"": 131, ""l2_leaf_reg"": 1.5782120583786556, ""learning_rate"": 0.13256975878337918, ""random_strength"": 0.11604917527052745}",COMPLETE
