number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_mean_fit_time,user_attrs_mean_score_time,user_attrs_mean_test_score,user_attrs_split0_test_score,user_attrs_split1_test_score,user_attrs_split2_test_score,user_attrs_split3_test_score,user_attrs_split4_test_score,user_attrs_std_fit_time,user_attrs_std_score_time,user_attrs_std_test_score,system_attrs_terminator:cv_scores,system_attrs_tpe:relative_params:0,state
13,0.7499765922210687,2026-09-20 02:30:08.499919,2026-09-20 02:30:09.769004,0 days 00:00:01.269085,0.810919495860517,0.016969923499805854,4,53,94,226,0.09839716881141507,9.965461259248643,0.7565567246365964,0.23389840126037598,0.015862226486206055,0.7499765922210687,0.7418997272540035,0.7490985752347828,0.7542293713951652,0.7467203538523509,0.7579349333690413,0.01494810048140384,0.0020669837944646036,0.005621940490070367,"[0.7418997272540035, 0.7490985752347828, 0.7542293713951652, 0.7467203538523509, 0.7579349333690413]","{""colsample_bytree"": 0.810919495860517, ""learning_rate"": 0.016969923499805854, ""max_depth"": 4, ""min_child_samples"": 53, ""n_estimators"": 94, ""num_leaves"": 226, ""reg_alpha"": 0.09839716881141507, ""reg_lambda"": 9.965461259248643, ""subsample"": 0.7565567246365964}",COMPLETE
14,0.768339052869368,2026-09-20 02:30:09.770004,2026-09-20 02:30:14.107251,0 days 00:00:04.337247,0.655394453163437,0.03294811804736126,9,18,152,255,0.01401184704696487,0.25513825843123417,0.5435910341921929,0.8192378044128418,0.04365220069885254,0.768339052869368,0.7658276450913337,0.7688757631860821,0.7680642519226618,0.7680955207875766,0.7708320833591855,0.009683086216742808,0.0026687475963558457,0.0016090526063476268,"[0.7658276450913337, 0.7688757631860821, 0.7680642519226618, 0.7680955207875766, 0.7708320833591855]","{""colsample_bytree"": 0.655394453163437, ""learning_rate"": 0.03294811804736126, ""max_depth"": 9, ""min_child_samples"": 18, ""n_estimators"": 152, ""num_leaves"": 255, ""reg_alpha"": 0.01401184704696487, ""reg_lambda"": 0.25513825843123417, ""subsample"": 0.5435910341921929}",COMPLETE
15,0.7659369960524204,2026-09-20 02:30:14.108251,2026-09-20 02:30:18.618991,0 days 00:00:04.510740,0.705278467466874,0.0616639901489159,9,39,172,243,0.24009269578553066,6.011651723545701,0.7245374384609465,0.8478821754455567,0.049381589889526366,0.7659369960524204,0.7553242336472763,0.7711865592644145,0.7658357155852948,0.7622150059298015,0.775123465835315,0.01507690835957332,0.0022352416732770203,0.006905698155330725,"[0.7553242336472763, 0.7711865592644145, 0.7658357155852948, 0.7622150059298015, 0.775123465835315]","{""colsample_bytree"": 0.705278467466874, ""learning_rate"": 0.0616639901489159, ""max_depth"": 9, ""min_child_samples"": 39, ""n_estimators"": 172, ""num_leaves"": 243, ""reg_alpha"": 0.24009269578553066, ""reg_lambda"": 6.011651723545701, ""subsample"": 0.7245374384609465}",COMPLETE
16,0.7655503158560935,2026-09-20 02:30:18.618991,2026-09-20 02:30:21.494227,0 days 00:00:02.875236,0.8334906118225306,0.033567605822028786,9,80,128,223,0.1738769879061823,0.5789196557307236,0.6124067034324024,0.5421323299407959,0.029098081588745116,0.7655503158560935,0.7641222914439145,0.7660421387446548,0.7633565640281083,0.7626093852122666,0.7716211998515237,0.016992148497477155,0.0007032255055469717,0.0032434054971912027,"[0.7641222914439145, 0.7660421387446548, 0.7633565640281083, 0.7626093852122666, 0.7716211998515237]","{""colsample_bytree"": 0.8334906118225306, ""learning_rate"": 0.033567605822028786, ""max_depth"": 9, ""min_child_samples"": 80, ""n_estimators"": 128, ""num_leaves"": 223, ""reg_alpha"": 0.1738769879061823, ""reg_lambda"": 0.5789196557307236, ""subsample"": 0.6124067034324024}",COMPLETE
17,0.7632874732988026,2026-09-20 02:30:21.494227,2026-09-20 02:30:24.764841,0 days 00:00:03.270614,0.7791414829687461,0.06705122240460752,10,64,122,215,0.31628607589821833,3.3493379294363606,0.848380658814734,0.6153830528259278,0.03274984359741211,0.7632874732988026,0.7580369967762536,0.7659963301326933,0.7609542477857405,0.7612262061252146,0.7702235856741111,0.014379809042708188,0.0017852203029085996,0.004305991816039079,"[0.7580369967762536, 0.7659963301326933, 0.7609542477857405, 0.7612262061252146, 0.7702235856741111]","{""colsample_bytree"": 0.7791414829687461, ""learning_rate"": 0.06705122240460752, ""max_depth"": 10, ""min_child_samples"": 64, ""n_estimators"": 122, ""num_leaves"": 215, ""reg_alpha"": 0.31628607589821833, ""reg_lambda"": 3.3493379294363606, ""subsample"": 0.848380658814734}",COMPLETE
18,0.7664225986374084,2026-09-20 02:30:24.764841,2026-09-20 02:30:30.721570,0 days 00:00:05.956729,0.585514103006409,0.012658091523713067,9,57,181,235,0.03191920972553043,0.028825729599978533,0.9017681155921093,1.128516674041748,0.057968425750732425,0.7664225986374084,0.7610581817404193,0.7673898763460227,0.7693825738962738,0.764284080819003,0.7699982803853231,0.013547635080087524,0.002462125066361698,0.003341640518230173,"[0.7610581817404193, 0.7673898763460227, 0.7693825738962738, 0.764284080819003, 0.7699982803853231]","{""colsample_bytree"": 0.585514103006409, ""learning_rate"": 0.012658091523713067, ""max_depth"": 9, ""min_child_samples"": 57, ""n_estimators"": 181, ""num_leaves"": 235, ""reg_alpha"": 0.03191920972553043, ""reg_lambda"": 0.028825729599978533, ""subsample"": 0.9017681155921093}",COMPLETE
19,0.7676763444882928,2026-09-20 02:30:30.722076,2026-09-20 02:30:33.250476,0 days 00:00:02.528400,0.6464489956139761,0.08611551355394836,8,61,107,244,0.30588451107602993,2.506511428527361,0.6634703626593934,0.4762387275695801,0.025789260864257812,0.7676763444882928,0.7557223558379844,0.7728875428115753,0.7680168578953472,0.7698295949893443,0.7719253709072129,0.018790920928541607,0.0005912846134193572,0.006210653672933761,"[0.7557223558379844, 0.7728875428115753, 0.7680168578953472, 0.7698295949893443, 0.7719253709072129]","{""colsample_bytree"": 0.6464489956139761, ""learning_rate"": 0.08611551355394836, ""max_depth"": 8, ""min_child_samples"": 61, ""n_estimators"": 107, ""num_leaves"": 244, ""reg_alpha"": 0.30588451107602993, ""reg_lambda"": 2.506511428527361, ""subsample"": 0.6634703626593934}",COMPLETE
20,0.767299727280745,2026-09-20 02:30:33.251978,2026-09-20 02:30:34.459691,0 days 00:00:01.207713,0.6897520226270921,0.028705665574434547,7,56,53,246,0.9396564891078939,0.5675009706341193,0.730534714990023,0.22283515930175782,0.012654256820678712,0.767299727280745,0.7636615816557935,0.7708023389830094,0.7669026616932266,0.7664133219191118,0.7687187321525837,0.003436333948367971,0.0018871175729096943,0.002385847551601697,"[0.7636615816557935, 0.7708023389830094, 0.7669026616932266, 0.7664133219191118, 0.7687187321525837]","{""colsample_bytree"": 0.6897520226270921, ""learning_rate"": 0.028705665574434547, ""max_depth"": 7, ""min_child_samples"": 56, ""n_estimators"": 53, ""num_leaves"": 246, ""reg_alpha"": 0.9396564891078939, ""reg_lambda"": 0.5675009706341193, ""subsample"": 0.730534714990023}",COMPLETE
21,0.7669891043040878,2026-09-20 02:30:34.459691,2026-09-20 02:30:38.604015,0 days 00:00:04.144324,0.6242398805383712,0.04599344595937284,8,66,171,189,0.09687344599881072,0.03861291124768261,0.7502911492458725,0.7771663188934326,0.04496893882751465,0.7669891043040878,0.7598216270042099,0.7675377010191525,0.7708663783113114,0.7623012509007897,0.7744185642849756,0.017398500387943567,0.0014491478879066447,0.005364322661167279,"[0.7598216270042099, 0.7675377010191525, 0.7708663783113114, 0.7623012509007897, 0.7744185642849756]","{""colsample_bytree"": 0.6242398805383712, ""learning_rate"": 0.04599344595937284, ""max_depth"": 8, ""min_child_samples"": 66, ""n_estimators"": 171, ""num_leaves"": 189, ""reg_alpha"": 0.09687344599881072, ""reg_lambda"": 0.03861291124768261, ""subsample"": 0.7502911492458725}",COMPLETE
22,0.7650536424517526,2026-09-20 02:30:38.605168,2026-09-20 02:30:40.885552,0 days 00:00:02.280384,0.8177042825156027,0.019372162322226546,7,12,100,210,0.9055309138889215,1.9417735339171964,0.6827772050644624,0.42811903953552244,0.022644424438476564,0.7650536424517526,0.7631277835905046,0.7608137350572809,0.7728967927016598,0.7565698761645419,0.771860024744776,0.013514019690446534,0.002409189621851742,0.006348257764844753,"[0.7631277835905046, 0.7608137350572809, 0.7728967927016598, 0.7565698761645419, 0.771860024744776]","{""colsample_bytree"": 0.8177042825156027, ""learning_rate"": 0.019372162322226546, ""max_depth"": 7, ""min_child_samples"": 12, ""n_estimators"": 100, ""num_leaves"": 210, ""reg_alpha"": 0.9055309138889215, ""reg_lambda"": 1.9417735339171964, ""subsample"": 0.6827772050644624}",COMPLETE
23,0.770361725711869,2026-09-20 02:30:40.886551,2026-09-20 02:30:43.513875,0 days 00:00:02.627324,0.743076974588113,0.03180105718831678,9,6,89,239,0.4910655018634589,4.0148866759160295,0.596627866960326,0.4966763496398926,0.02432713508605957,0.770361725711869,0.7647467870387648,0.766889033001197,0.777687264129675,0.7680723546160643,0.7744131897736445,0.00303464222256912,0.000915116595475294,0.004876601790886611,"[0.7647467870387648, 0.766889033001197, 0.777687264129675, 0.7680723546160643, 0.7744131897736445]","{""colsample_bytree"": 0.743076974588113, ""learning_rate"": 0.03180105718831678, ""max_depth"": 9, ""min_child_samples"": 6, ""n_estimators"": 89, ""num_leaves"": 239, ""reg_alpha"": 0.4910655018634589, ""reg_lambda"": 4.0148866759160295, ""subsample"": 0.596627866960326}",COMPLETE
24,0.7668908239975007,2026-09-20 02:30:43.513875,2026-09-20 02:30:46.977248,0 days 00:00:03.463373,0.6575646505215987,0.010742474455569553,7,78,160,166,0.07856470094774483,0.00784836666053954,0.6918495559358357,0.6493577480316162,0.03801431655883789,0.7668908239975007,0.7586671951126163,0.7673080968706889,0.7725245906110454,0.7662462059905286,0.7697080314026247,0.01729322417516153,0.0017746198719143448,0.004645292345618156,"[0.7586671951126163, 0.7673080968706889, 0.7725245906110454, 0.7662462059905286, 0.7697080314026247]","{""colsample_bytree"": 0.6575646505215987, ""learning_rate"": 0.010742474455569553, ""max_depth"": 7, ""min_child_samples"": 78, ""n_estimators"": 160, ""num_leaves"": 166, ""reg_alpha"": 0.07856470094774483, ""reg_lambda"": 0.00784836666053954, ""subsample"": 0.6918495559358357}",COMPLETE
25,0.768473047106269,2026-09-20 02:30:46.977248,2026-09-20 02:30:49.649017,0 days 00:00:02.671769,0.590878822533313,0.022862795762764683,5,52,150,186,0.04069291093128991,0.02723572957403837,0.6553963358457775,0.5035979747772217,0.02640390396118164,0.768473047106269,0.7579757101513731,0.7703845772394446,0.7725885839323394,0.765763702741557,0.7756526614666304,0.009276217630557512,0.0012497079113361178,0.00615910842917231,"[0.7579757101513731, 0.7703845772394446, 0.7725885839323394, 0.765763702741557, 0.7756526614666304]","{""colsample_bytree"": 0.590878822533313, ""learning_rate"": 0.022862795762764683, ""max_depth"": 5, ""min_child_samples"": 52, ""n_estimators"": 150, ""num_leaves"": 186, ""reg_alpha"": 0.04069291093128991, ""reg_lambda"": 0.02723572957403837, ""subsample"": 0.6553963358457775}",COMPLETE
26,0.7702613675292561,2026-09-20 02:30:49.650017,2026-09-20 02:30:53.452326,0 days 00:00:03.802309,0.6693533092071262,0.03780726415332102,8,49,189,223,0.6723662323615566,8.92351890830715,0.8753961269829493,0.7113823413848877,0.04407181739807129,0.7702613675292561,0.7677163457515711,0.7768573154005551,0.7685528274881455,0.7644748159363501,0.7737055330696581,0.01304268635353287,0.003069386729625578,0.004432814655473842,"[0.7677163457515711, 0.7768573154005551, 0.7685528274881455, 0.7644748159363501, 0.7737055330696581]","{""colsample_bytree"": 0.6693533092071262, ""learning_rate"": 0.03780726415332102, ""max_depth"": 8, ""min_child_samples"": 49, ""n_estimators"": 189, ""num_leaves"": 223, ""reg_alpha"": 0.6723662323615566, ""reg_lambda"": 8.92351890830715, ""subsample"": 0.8753961269829493}",COMPLETE
27,0.7672381844445946,2026-09-20 02:30:53.452326,2026-09-20 02:30:56.162014,0 days 00:00:02.709688,0.7443702834195822,0.01644244943785284,8,42,113,227,0.46710769364380367,1.0635381772820913,0.7855129758894109,0.5090712070465088,0.028001880645751952,0.7672381844445946,0.7599259050462814,0.7689965683425696,0.7713257455750215,0.7617527721802544,0.7741899310788457,0.014816946358528652,0.0011515813691576479,0.005507922092826396,"[0.7599259050462814, 0.7689965683425696, 0.7713257455750215, 0.7617527721802544, 0.7741899310788457]","{""colsample_bytree"": 0.7443702834195822, ""learning_rate"": 0.01644244943785284, ""max_depth"": 8, ""min_child_samples"": 42, ""n_estimators"": 113, ""num_leaves"": 227, ""reg_alpha"": 0.46710769364380367, ""reg_lambda"": 1.0635381772820913, ""subsample"": 0.7855129758894109}",COMPLETE
28,0.7705628325207221,2026-09-20 02:30:56.162014,2026-09-20 02:30:58.326550,0 days 00:00:02.164536,0.7352684710824906,0.03640952082956931,7,9,109,243,0.12058117696792654,4.939184645528238,0.735492297039853,0.4037046432495117,0.02396078109741211,0.7705628325207221,0.7682748201115386,0.7684264109910827,0.7739480040240359,0.765492288843351,0.7766726386336021,0.003096622031925852,0.0009649315236579007,0.004106064484755369,"[0.7682748201115386, 0.7684264109910827, 0.7739480040240359, 0.765492288843351, 0.7766726386336021]","{""colsample_bytree"": 0.7352684710824906, ""learning_rate"": 0.03640952082956931, ""max_depth"": 7, ""min_child_samples"": 9, ""n_estimators"": 109, ""num_leaves"": 243, ""reg_alpha"": 0.12058117696792654, ""reg_lambda"": 4.939184645528238, ""subsample"": 0.735492297039853}",COMPLETE
29,0.7707402693995645,2026-09-20 02:30:58.328054,2026-09-20 02:31:00.138253,0 days 00:00:01.810199,0.6470560068136335,0.040790387024397586,7,9,79,248,0.27922218930083864,2.826329737161057,0.6203092853573996,0.34030904769897463,0.017961835861206053,0.7707402693995645,0.7670325512966858,0.7704024835832192,0.7776663277148306,0.7629964698555415,0.7756035145475455,0.01774749979370373,0.001527328983852075,0.00539349870347582,"[0.7670325512966858, 0.7704024835832192, 0.7776663277148306, 0.7629964698555415, 0.7756035145475455]","{""colsample_bytree"": 0.6470560068136335, ""learning_rate"": 0.040790387024397586, ""max_depth"": 7, ""min_child_samples"": 9, ""n_estimators"": 79, ""num_leaves"": 248, ""reg_alpha"": 0.27922218930083864, ""reg_lambda"": 2.826329737161057, ""subsample"": 0.6203092853573996}",COMPLETE
